key,english,hindi,files
web_instant_guru_no_subscription,You don't have any active subscription please download app and subscribe.,"आपकी कोई सक्रिय सदस्यता नहीं है, कृपया ऐप डाउनलोड करें और सब्सक्राइब करें।",src/screens/web-instant-guru/webInstantGuru.jsx
web_instant_guru_message_limit_reached,Message limit reached,मैसेज की सीमा समाप्त हो गई है,src/screens/web-instant-guru/webInstantGuru.jsx
web_instant_guru_waiting_subscription_check,Waiting for subscription check.,सदस्यता की जांच की प्रतीक्षा है।,src/screens/web-instant-guru/webInstantGuru.jsx
doubt_chat_no_chat_found,Oops! no any chat found.,ओह! कोई चैट नहीं मिली।,src/screens/sme/doubtChat.js
doubt_chat_send_placeholder,Send your answer...,अपना जवाब भेजें...,src/screens/sme/doubtChat.js
doubt_chat_view_activity,View Activity,एक्टिविटी देखें,src/screens/sme/doubtChat.js
doubt_chat_watch_now,Watch Now,अभी देखें,src/screens/sme/doubtChat.js
doubt_chat_open,Open,खोलें,src/screens/sme/doubtChat.js
doubt_chat_edit,Edit,एडिट करें,src/screens/sme/doubtChat.js
doubt_chat_delete,Delete,डिलीट करें,src/screens/sme/doubtChat.js
doubt_chat_cancel,Cancel,रद्द करें,src/screens/sme/doubtChat.js
doubt_chat_save,Save,सेव करें,src/screens/sme/doubtChat.js
doubt_chat_save_notify,Save & Notify,सेव करें और सूचित करें,src/screens/sme/doubtChat.js
doubt_chat_class_label,Class: {{className}},कक्षा: {{className}},src/screens/sme/doubtChat.js
doubt_chat_open_new_tab,Open In New Tab,नए टैब में खोलें,src/screens/sme/doubtChat.js
doubt_list_alert_archived,Data is archived.,डेटा आर्काइव कर दिया गया है।,src/screens/sme/doubtList.js
doubt_list_alert_invalid_range,Invalid date range.,अमान्य तारीख सीमा।,src/screens/sme/doubtList.js
doubt_list_latest_doubts,Latest Doubts,नवीनतम डाउट्स,src/screens/sme/doubtList.js
doubt_list_user_doubts,{{name}}'s Doubts,{{name}} के डाउट्स,src/screens/sme/doubtList.js
doubt_list_select_subject,Select Subject,विषय चुनें,src/screens/sme/doubtList.js
doubt_list_all_subject,ALL Subject,सभी विषय,src/screens/sme/doubtList.js
doubt_list_subject_math,Math,गणित,src/screens/sme/doubtList.js
doubt_list_subject_physics,Physics,भौतिकी,src/screens/sme/doubtList.js
doubt_list_subject_biology,Biology,जीवविज्ञान,src/screens/sme/doubtList.js
doubt_list_subject_chemistry,Chemistry,रसायन विज्ञान,src/screens/sme/doubtList.js
doubt_list_question_type,Question Type,प्रश्न प्रकार,src/screens/sme/doubtList.js
doubt_list_all_types,ALL Types,सभी प्रकार,src/screens/sme/doubtList.js
doubt_list_type_text,Text,टेक्स्ट,src/screens/sme/doubtList.js
doubt_list_type_image,Image,इमेज,src/screens/sme/doubtList.js
doubt_list_start_date,Start Date,प्रारंभ तिथि,src/screens/sme/doubtList.js
doubt_list_end_date,End Date,समाप्ति तिथि,src/screens/sme/doubtList.js
doubt_list_search_label,Search By doubt text,डाउट टेक्स्ट से खोजें,src/screens/sme/doubtList.js
doubt_list_search_placeholder,Search by doubt text...,डाउट टेक्स्ट से खोजें...,src/screens/sme/doubtList.js
doubt_list_th_sno,S.No.,क्र.सं.,src/screens/sme/doubtList.js; src/screens/sme/studentsList.js
doubt_list_th_title,Title,शीर्षक,src/screens/sme/doubtList.js
doubt_list_th_subject,Subject,विषय,src/screens/sme/doubtList.js
doubt_list_th_language,Language,भाषा,src/screens/sme/doubtList.js
doubt_list_th_course,Course,कोर्स,src/screens/sme/doubtList.js
doubt_list_th_question_type,Question Type,प्रश्न प्रकार,src/screens/sme/doubtList.js
doubt_list_th_subscription,Subscription,सब्सक्रिप्शन,src/screens/sme/doubtList.js
doubt_list_th_approved,Approved,स्वीकृत,src/screens/sme/doubtList.js
doubt_list_th_user_feedback,User Feedback,यूज़र फीडबैक,src/screens/sme/doubtList.js
doubt_list_th_date,Date,तारीख,src/screens/analytics/lectureMetrices.jsx; src/screens/analytics/userActivity.jsx; src/screens/sme/doubtList.js
doubt_list_th_actions,Actions,एक्शन,src/screens/sme/doubtList.js; src/screens/sme/studentsList.js
doubt_list_no_results,Oops! no any result found.,ओह! कोई परिणाम नहीं मिला।,src/screens/sme/doubtList.js; src/screens/sme/studentsList.js
doubt_list_premium,PREMIUM,प्रीमियम,src/screens/sme/doubtList.js
doubt_list_basic,BASIC,बेसिक,src/screens/sme/doubtList.js
doubt_list_yes,Yes,हाँ,src/screens/sme/doubtList.js
doubt_list_no,No,नहीं,src/screens/sme/doubtList.js
doubt_list_na,N/A,लागू नहीं,src/screens/analytics/lectureMetrices.jsx; src/screens/sme/doubtList.js
doubt_list_liked,Liked,पसंद किया,src/screens/sme/doubtList.js
doubt_list_disliked,Disliked,नापसंद किया,src/screens/sme/doubtList.js
students_list_title,Students With Doubts,डाउट्स वाले स्टूडेंट्स,src/screens/sme/studentsList.js
students_list_search_placeholder,"Search by name, phone number...","नाम, फोन नंबर से खोजें...",src/screens/sme/studentsList.js
students_list_th_name,Name,नाम,src/screens/analytics/appMetrices.jsx; src/screens/sme/studentsList.js
students_list_th_class,Class,कक्षा,src/screens/sme/studentsList.js
students_list_th_phone,Phone Number,फोन नंबर,src/screens/analytics/userActivity.jsx; src/screens/sme/studentsList.js
students_list_th_doubt_sessions,Doubts Sessions,डाउट सेशंस,src/screens/sme/studentsList.js
sme_home_doubts,Doubts,डाउट्स,src/screens/sme/smeHome.js
sme_home_board_doubts,Board Doubts,बोर्ड डाउट्स,src/screens/sme/smeHome.js
sme_home_jee_doubts,JEE Doubts,JEE डाउट्स,src/screens/sme/smeHome.js
sme_home_neet_doubts,NEET Doubts,NEET डाउट्स,src/screens/sme/smeHome.js
sme_home_doubt_queries_solved,Doubt Queries Solved,हल किए गए डाउट प्रश्न,src/screens/sme/smeHome.js
sme_home_student_efficiency,Student's Efficiency,स्टूडेंट दक्षता,src/screens/sme/smeHome.js
sme_home_tutor_efficiency,Tutor's Efficiency,ट्यूटर दक्षता,src/screens/sme/smeHome.js
share_on_whatsapp,"😎 *Ask Doubt* ne mera doubt instantly solve kar diya ✅
Tum bhi apne doubts clear karne ke liye abhi pucho
👉 https://arivihan.com/deeplink?redirectTo=choose-doubt-subject","😎 *डाउट पूछें* ने मेरा सवाल तुरंत हल कर दिया ✅
तुम भी अपने डाउट्स क्लियर करने के लिए अभी पूछो
👉 https://arivihan.com/deeplink?redirectTo=choose-doubt-subject",src/components/PDF_Circle/Global_like_dislike_response.jsx; src/components/instant_guru_classifier/Global_like_dislike_response.jsx
analytics_month_oct,Oct,अक्टू,src/screens/analytics/lectureMetrices.jsx; src/screens/analytics/userActivity.jsx
analytics_month_nov,Nov,नव,src/screens/analytics/lectureMetrices.jsx; src/screens/analytics/userActivity.jsx
analytics_month_dec,Dec,दिस,src/screens/analytics/lectureMetrices.jsx; src/screens/analytics/userActivity.jsx
analytics_month_january,January,जनवरी,src/screens/analytics/appMetrices.jsx
analytics_month_february,February,फरवरी,src/screens/analytics/appMetrices.jsx
analytics_month_march,March,मार्च,src/screens/analytics/appMetrices.jsx
analytics_month_april,April,अप्रैल,src/screens/analytics/appMetrices.jsx
analytics_month_may,May,मई,src/screens/analytics/appMetrices.jsx
analytics_day_monday,Monday,सोमवार,src/screens/analytics/appMetrices.jsx
analytics_day_tuesday,Tuesday,मंगलवार,src/screens/analytics/appMetrices.jsx
analytics_day_wednesday,Wednesday,बुधवार,src/screens/analytics/appMetrices.jsx
analytics_day_thursday,Thursday,गुरुवार,src/screens/analytics/appMetrices.jsx
analytics_day_friday,Friday,शुक्रवार,src/screens/analytics/appMetrices.jsx
app_metrices_title_suffix,Metrices,मेट्रिसेज़,src/screens/analytics/appMetrices.jsx
app_metrices_total_sales,Total Sales,कुल बिक्री,src/screens/analytics/appMetrices.jsx
app_metrices_new_users,New Users,नए यूज़र्स,src/screens/analytics/appMetrices.jsx
app_metrices_orders,Orders,ऑर्डर्स,src/screens/analytics/appMetrices.jsx
app_metrices_revenue,Revenue,रेवेन्यू,src/screens/analytics/appMetrices.jsx
app_metrices_sales_bar_chart,Sales Bar Chart,बिक्री बार चार्ट,src/screens/analytics/appMetrices.jsx
app_metrices_visitors_line_chart,Visitors Line Chart,विज़िटर्स लाइन चार्ट,src/screens/analytics/appMetrices.jsx
app_metrices_recent_transactions,Recent Transactions,हाल के ट्रांज़ैक्शन,src/screens/analytics/appMetrices.jsx
app_metrices_th_id,ID,आईडी,src/screens/analytics/appMetrices.jsx; src/screens/analytics/lectureMetrices.jsx
app_metrices_th_sales,Sales,बिक्री,src/screens/analytics/appMetrices.jsx
app_metrices_th_status,Status,स्थिति,src/screens/analytics/appMetrices.jsx
app_metrices_chart_sales,Sales,बिक्री,src/screens/analytics/appMetrices.jsx
app_metrices_chart_visitors,Visitors,विज़िटर्स,src/screens/analytics/appMetrices.jsx
lecture_metrices_title,Lecture Metrices,लेक्चर मेट्रिसेज़,src/screens/analytics/lectureMetrices.jsx
lecture_metrices_total_videos_completed,Total Videos Completed,कुल पूरे किए गए वीडियो,src/screens/analytics/lectureMetrices.jsx
lecture_metrices_board_videos_completed,Board Videos Completed,बोर्ड वीडियो पूरे हुए,src/screens/analytics/lectureMetrices.jsx
lecture_metrices_jee_videos_completed,JEE Videos Completed,JEE वीडियो पूरे हुए,src/screens/analytics/lectureMetrices.jsx
lecture_metrices_neet_videos_completed,NEET Videos Completed,NEET वीडियो पूरे हुए,src/screens/analytics/lectureMetrices.jsx
lecture_metrices_interactive_input_clicked,Interactive Input Clicked,इंटरैक्टिव इनपुट क्लिक किया गया,src/screens/analytics/lectureMetrices.jsx
lecture_metrices_course_video_overview,Course Video Overview,कोर्स वीडियो ओवरव्यू,src/screens/analytics/lectureMetrices.jsx
lecture_metrices_micro_lecture_daily_completions,Micro lecture daily completions,माइक्रो लेक्चर की दैनिक पूर्णता,src/screens/analytics/lectureMetrices.jsx
lecture_metrices_ai_corrections_during_lecture,AI Corrections During Lecture,लेक्चर के दौरान AI सुधार,src/screens/analytics/lectureMetrices.jsx
lecture_metrices_views_data,Views Data,व्यूज़ डेटा,src/screens/analytics/lectureMetrices.jsx; src/screens/analytics/userActivity.jsx
lecture_metrices_th_microlecture_name,MicroLecture Name,माइक्रोलेक्चर का नाम,src/screens/analytics/lectureMetrices.jsx
lecture_metrices_th_chapter_name,Chapter Name,चैप्टर का नाम,src/screens/analytics/lectureMetrices.jsx
lecture_metrices_chart_course_video_overview,Course Video Overview,कोर्स वीडियो ओवरव्यू,src/screens/analytics/lectureMetrices.jsx
lecture_metrices_chart_view_trends,View Trends,व्यू ट्रेंड्स,src/screens/analytics/lectureMetrices.jsx
user_activity_title,User Activity,यूज़र एक्टिविटी,src/screens/analytics/userActivity.jsx
user_activity_monthly_active_users,Monthly Active Users,मासिक सक्रिय यूज़र्स,src/screens/analytics/userActivity.jsx
user_activity_daily_active_users,Daily Active Users,दैनिक सक्रिय यूज़र्स,src/screens/analytics/userActivity.jsx
user_activity_active_users_count,Active Users Count: {{count}},सक्रिय यूज़र्स की संख्या: {{count}},src/screens/analytics/userActivity.jsx
user_activity_th_user_id,User Id,यूज़र आईडी,src/screens/analytics/userActivity.jsx
user_activity_chart_active_users,Active Users,सक्रिय यूज़र्स,src/screens/analytics/userActivity.jsx
user_activity_chart_month_active_users,Month Active Users,मासिक सक्रिय यूज़र्स,src/screens/analytics/userActivity.jsx
todo_list_title,ToDo List,टू-डू लिस्ट,src/screens/analytics/todoList.jsx
todo_list_created,Todo List Created,बनाई गई टू-डू लिस्ट,src/screens/analytics/todoList.jsx
todo_list_completed,Todo List Completed,पूरी हुई टू-डू लिस्ट,src/screens/analytics/todoList.jsx
test_view_great_work,Great work!,बहुत बढ़िया काम!,src/screens/Test_View/Test_view.jsx
test_view_feedback_brilliant,Brilliant!,शानदार!,src/screens/Test_View/Test_view.jsx
test_view_feedback_late_great,A little late but great!,थोड़ी देर हुई पर बहुत बढ़िया!,src/screens/Test_View/Test_view.jsx
test_view_feedback_good_job,Good job!,अच्छा काम!,src/screens/Test_View/Test_view.jsx
test_view_feedback_keep_trying,Keep trying!,कोशिश जारी रखें!,src/screens/Test_View/Test_view.jsx
test_view_report_question,Report Question,प्रश्न की शिकायत करें,src/screens/Test_View/Test_view.jsx
test_view_issue_incomplete_question,Incorrect or incomplete question,गलत या अधूरा प्रश्न,src/screens/Test_View/Test_view.jsx
test_view_issue_incomplete_options,Incorrect or incomplete options,गलत या अधूरे विकल्प,src/screens/Test_View/Test_view.jsx
test_view_issue_formatting_image,Formatting or image quality issue,फॉर्मेटिंग या इमेज क्वालिटी की समस्या,src/screens/Test_View/Test_view.jsx
test_view_issue_other,Other,अन्य,src/screens/Test_View/Test_view.jsx
test_view_additional_feedback,Additional Feedback,अतिरिक्त फीडबैक,src/screens/Test_View/Test_view.jsx
test_view_feedback_placeholder,Please provide additional details...,कृपया अतिरिक्त जानकारी दें...,src/screens/Test_View/Test_view.jsx
test_view_submit_report,Submit Report,शिकायत सबमिट करें,src/screens/Test_View/Test_view.jsx
test_view_your_submitted_answer,Your submitted answer,आपका सबमिट किया गया उत्तर,src/screens/Test_View/Test_view.jsx
test_view_type_answer_here,Type your answer here,अपना उत्तर यहाँ टाइप करें,src/screens/Test_View/Test_view.jsx
test_view_answer_placeholder,Enter your answer...,अपना उत्तर दर्ज करें...,src/screens/Test_View/Test_view.jsx
test_view_correct_answer_label,Correct Answer:,सही उत्तर:,src/screens/Test_View/Test_view.jsx
test_view_true,True,सही,src/screens/Test_View/Test_view.jsx
test_view_false,False,गलत,src/screens/Test_View/Test_view.jsx
test_view_type_answer_option1,Option 1 - Type your answer here,विकल्प 1 - अपना उत्तर यहाँ टाइप करें,src/screens/Test_View/Test_view.jsx
test_view_upload_photo_option2,Option 2 - Or click and upload a photo of your answer,विकल्प 2 - या अपने उत्तर की फोटो खींचकर अपलोड करें,src/screens/Test_View/Test_view.jsx
test_view_upload_answer,Upload Your Answer,अपना उत्तर अपलोड करें,src/screens/Test_View/Test_view.jsx
test_view_max_file_size,Maximum file size 10mb,अधिकतम फ़ाइल साइज़ 10mb,src/screens/Test_View/Test_view.jsx
test_view_upload,Upload,अपलोड करें,src/screens/Test_View/Test_view.jsx
test_view_upload_answer_expert_check,Upload your answer and get it checked by board exam experts,अपना उत्तर अपलोड करें और बोर्ड परीक्षा एक्सपर्ट्स से जाँच करवाएँ,src/screens/Test_View/Test_view.jsx
test_view_question_type_mcq,Multiple Choice Questions,बहुविकल्पीय प्रश्न,src/screens/Test_View/Test_view.jsx
test_view_question_type_fill_blanks,Fill in the Blanks,रिक्त स्थान भरें,src/screens/Test_View/Test_view.jsx
test_view_question_type_true_false,True/False,सही/गलत,src/screens/Test_View/Test_view.jsx
test_view_question_type_short_answer,Short Answer,संक्षिप्त उत्तर,src/screens/Test_View/Test_view.jsx
test_view_question_type_long_answer,Long Answer,विस्तृत उत्तर,src/screens/Test_View/Test_view.jsx
test_view_question_progress,Q{{number}} of {{total}},"प्रश्न {{number}}, कुल {{total}} में से",src/screens/Test_View/Test_view.jsx
test_view_solution,Solution,समाधान,src/screens/Test_View/Test_view.jsx
test_view_difficulty_medium,Medium,मध्यम,src/screens/Test_View/Test_view.jsx
test_view_submit,Submit,सबमिट करें,src/screens/Test_View/Test_view.jsx
test_view_next,Next,आगे,src/screens/Test_View/Test_view.jsx
test_view_view_solution,view solution,समाधान देखें,src/screens/Test_View/Test_view.jsx
pdf_circle_mini_scroll_up,Scroll up,ऊपर जाएं,src/components/PDF_Circle/Pdf_circle_mini_screen.jsx
pdf_circle_mini_scroll_down,Scroll down,नीचे जाएं,src/components/PDF_Circle/Pdf_circle_mini_screen.jsx
pdf_circle_mini_ask_doubt_chat,Ask in Doubt Chat,डाउट चैट में पूछें,src/components/PDF_Circle/Pdf_circle_mini_screen.jsx
video_componenet_loading,"Please wait, video is loading...","कृपया प्रतीक्षा करें, वीडियो लोड हो रहा है...",src/components/instant_guru_classifier/Video_Text_response_Component/Video_componenet.jsx
model_paper_response_start_now,Start Now,अभी शुरू करें,src/components/instant_guru_classifier/Model_Paper_response/Model_Paper_response.jsx; src/components/instant_guru_classifier/Multi_Model_paper_response/Multi_Model_paper_response.jsx
